"","employee_id","gender","team","financial_q","role_seniority","leadership_for_level","productivity","salary","quarter","year","seniority"
"1",24600,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",43,36800,"4",2020,"Junior"
"2",24600,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",42,36800,"3",2020,"Junior"
"3",24599,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",61,29600,"4",2020,"Junior"
"4",24599,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",60,29600,"3",2020,"Junior"
"5",24598,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",73,28700,"4",2020,"Junior"
"6",24598,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",74,28700,"3",2020,"Junior"
"7",24598,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",74,28700,"2",2020,"Junior"
"8",24598,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",72,28700,"1",2020,"Junior"
"9",24597,"Woman","Client services","2020 Q4","Entry-level","Needs improvement",19,29600,"4",2020,"Junior"
"10",24597,"Woman","Client services","2020 Q3","Entry-level","Needs improvement",18,29600,"3",2020,"Junior"
"11",24597,"Woman","Client services","2020 Q2","Entry-level","Needs improvement",19,29600,"2",2020,"Junior"
"12",24596,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",45,36600,"4",2020,"Junior"
"13",24596,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",46,36600,"3",2020,"Junior"
"14",24596,"Man","Client services","2020 Q2","Entry-level","Appropriate for level",44,36600,"2",2020,"Junior"
"15",24596,"Man","Client services","2020 Q1","Entry-level","Appropriate for level",45,36600,"1",2020,"Junior"
"16",24595,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",63,29300,"4",2020,"Junior"
"17",24595,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",62,29300,"3",2020,"Junior"
"18",24595,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",61,29300,"2",2020,"Junior"
"19",24595,"Woman","Client services","2020 Q1","Entry-level","Appropriate for level",61,29300,"1",2020,"Junior"
"20",24594,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",58,33700,"4",2020,"Junior"
"21",24594,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",57,33700,"3",2020,"Junior"
"22",24594,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",58,33700,"2",2020,"Junior"
"23",24593,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",63,36500,"4",2020,"Junior"
"24",24593,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",64,36500,"3",2020,"Junior"
"25",24593,"Man","Client services","2020 Q2","Entry-level","Exceeds expectations",64,36500,"2",2020,"Junior"
"26",24593,"Man","Client services","2020 Q1","Entry-level","Appropriate for level",64,36500,"1",2020,"Junior"
"27",24592,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",55,27100,"4",2020,"Junior"
"28",24592,"Woman","Client services","2020 Q3","Entry-level","Appropriate for level",56,27100,"3",2020,"Junior"
"29",24592,"Woman","Client services","2020 Q2","Entry-level","Appropriate for level",55,27100,"2",2020,"Junior"
"30",24592,"Woman","Client services","2020 Q1","Entry-level","Needs improvement",55,27100,"1",2020,"Junior"
"31",24591,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",15,28900,"4",2020,"Junior"
"32",24591,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",15,28900,"3",2020,"Junior"
"33",24591,"Man","Client services","2020 Q2","Entry-level","Appropriate for level",13,28900,"2",2020,"Junior"
"34",24591,"Man","Client services","2020 Q1","Entry-level","Appropriate for level",13,28900,"1",2020,"Junior"
"35",24590,"Woman","Client services","2020 Q4","Entry-level","Appropriate for level",27,33000,"4",2020,"Junior"
"36",24589,"Man","Client services","2020 Q4","Entry-level","Appropriate for level",52,33700,"4",2020,"Junior"
"37",24589,"Man","Client services","2020 Q3","Entry-level","Appropriate for level",50,33700,"3",2020,"Junior"
"38",24589,"Man","Client services","2020 Q2","Entry-level","Appropriate for level",50,33700,"2",2020,"Junior"
