"","applicant_id","X1","team_applied_for","cover_letter","cv","gpa","gender","extracurriculars","work_experience","final_hired.x","pass_phase1.x","final_hired.y","pass_phase1.y","final_hired.x","pass_phase1.x","final_hired.y","pass_phase1.y"
"1",1010,1,"Software",0,1,1.3,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"2",1020,2,"Software",0,1,3.4,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"3",1030,3,"Data",1,1,2.4,"Woman",2,0,0,1,NA,1,0,1,NA,1
"4",1040,4,"Software",0,1,2.7,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"5",1050,5,"Data",1,0,2.1,"Prefer not to say",0,1,0,0,NA,NA,0,0,NA,NA
"6",1060,6,"Software",0,1,2.6,"Prefer not to say",1,1,0,0,NA,NA,0,0,NA,NA
"7",1070,7,"Software",1,1,3.4,"Woman",1,1,0,1,NA,1,0,1,NA,1
"8",1080,8,"Data",1,1,2.6,"Man",1,1,0,1,NA,1,0,1,NA,1
"9",1090,9,"Data",1,1,3.7,"Man",2,1,0,1,NA,1,0,1,NA,1
"10",1100,10,"Software",0,1,2.6,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"11",1110,11,"Data",0,1,3.3,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"12",1120,12,"Software",1,1,3.8,"Woman",2,1,0,1,NA,1,0,1,NA,1
"13",1130,13,"Software",0,1,1.9,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"14",1140,14,"Data",1,1,3.3,"Woman",1,1,0,1,NA,1,0,1,NA,1
"15",1150,15,"Software",1,1,3.2,"Man",1,1,0,1,NA,1,0,1,NA,1
"16",1160,16,"Data",0,1,3.1,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"17",1170,17,"Software",1,1,2.9,"Man",1,1,0,1,NA,1,0,1,NA,1
"18",1180,18,"Software",1,1,3.2,"Man",1,1,0,1,NA,1,0,1,NA,1
"19",1190,19,"Software",0,1,2.2,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"20",1200,20,"Software",0,1,2.5,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"21",1210,21,"Data",0,1,1.7,"Woman",1,1,0,0,NA,NA,0,0,NA,NA
"22",1220,22,"Data",0,1,3.5,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"23",1230,23,"Software",1,1,2.8,"Man",2,1,0,1,NA,1,0,1,NA,1
"24",1240,24,"Software",1,0,2.8,"Man",2,1,0,0,NA,NA,0,0,NA,NA
"25",1250,25,"Software",0,1,2.4,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"26",1260,26,"Data",1,0,1.7,"Woman",0,1,0,0,NA,NA,0,0,NA,NA
"27",1270,27,"Data",1,1,2.2,"Woman",1,1,0,1,NA,1,0,1,NA,1
"28",1280,28,"Software",1,1,2.9,"Man",1,2,0,1,NA,1,0,1,NA,1
"29",1290,29,"Software",1,1,3,"Woman",2,1,0,1,NA,1,0,1,NA,1
"30",1300,30,"Software",1,1,3.2,"Woman",2,2,0,1,NA,1,0,1,NA,1
"31",1310,31,"Data",1,1,2.3,"Man",2,0,0,1,NA,1,0,1,NA,1
"32",1320,32,"Software",0,1,2.3,"Man",1,1,0,0,NA,NA,0,0,NA,NA
"33",1330,33,"Data",0,1,2.2,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"34",1340,34,"Software",1,1,3,"Woman",2,1,0,1,NA,1,0,1,NA,1
"35",1350,35,"Software",1,1,2.5,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"36",1360,36,"Software",1,1,4,"Woman",1,2,0,1,NA,1,0,1,NA,1
"37",1370,37,"Software",1,1,3,"Man",2,0,1,1,1,1,1,1,1,1
"38",1380,38,"Software",1,1,2.3,"Woman",1,1,0,1,NA,1,0,1,NA,1
"39",1390,39,"Data",0,1,3.7,"Man",2,1,0,0,NA,NA,0,0,NA,NA
"40",1400,40,"Data",0,1,3,"Man",2,1,0,0,NA,NA,0,0,NA,NA
"41",1410,41,"Software",1,1,2.8,"Man",1,1,0,1,NA,1,0,1,NA,1
"42",1420,42,"Software",1,1,2.2,"Man",1,0,0,0,NA,NA,0,0,NA,NA
"43",1430,43,"Software",0,1,3.6,"Man",2,2,0,0,NA,NA,0,0,NA,NA
"44",1440,44,"Software",1,1,3,"Woman",2,1,0,1,NA,1,0,1,NA,1
"45",1450,45,"Data",0,1,1.2,"Man",1,0,0,0,NA,NA,0,0,NA,NA
"46",1460,46,"Software",1,1,3,"Woman",1,1,0,1,NA,1,0,1,NA,1
"47",1470,47,"Data",1,1,2.7,"Man",1,1,0,1,NA,1,0,1,NA,1
"48",1480,48,"Data",1,1,3.2,"Woman",2,1,0,1,NA,1,0,1,NA,1
"49",1490,49,"Software",1,1,2.5,"Man",2,1,0,1,NA,1,0,1,NA,1
"50",1500,50,"Software",0,1,2.8,"Woman",2,1,0,0,NA,NA,0,0,NA,NA
"51",1510,51,"Data",1,1,2.5,"Woman",1,0,0,0,NA,NA,0,0,NA,NA
"52",1520,52,"Data",1,1,3.6,"Man",1,1,0,1,NA,1,0,1,NA,1
"53",1530,53,"Software",1,1,3,"Woman",2,1,0,1,NA,1,0,1,NA,1
