"","applicant_id","X1","team_applied_for","cover_letter","cv","gpa","gender","extracurriculars","work_experience","technical_skills","writing_skills","leadership_presence","speaking_skills","final_hired.x","pass_phase2.x","final_hired.y","pass_phase2.y","final_hired.x","pass_phase2.x","final_hired.y","pass_phase2.y"
"1",1030,1,"Data",1,1,2.4,"Woman",2,0,56,16,5,2,0,0,NA,NA,0,0,NA,NA
"2",1070,2,"Software",1,1,3.4,"Woman",1,1,80,37,1,3,0,0,NA,NA,0,0,NA,NA
"3",1080,3,"Data",1,1,2.6,"Man",1,1,89,48,0,4,0,0,NA,NA,0,0,NA,NA
"4",1090,4,"Data",1,1,3.7,"Man",2,1,54,60,3,1,0,0,NA,NA,0,0,NA,NA
"5",1120,5,"Software",1,1,3.8,"Woman",2,1,19,51,4,8,0,0,NA,NA,0,0,NA,NA
"6",1140,6,"Data",1,1,3.3,"Woman",1,1,24,25,5,2,0,0,NA,NA,0,0,NA,NA
"7",1150,7,"Software",1,1,3.2,"Man",1,1,20,18,8,5,0,0,NA,NA,0,0,NA,NA
"8",1170,8,"Software",1,1,2.9,"Man",1,1,50,55,7,7,0,1,NA,1,0,1,NA,1
"9",1180,9,"Software",1,1,3.2,"Man",1,1,82,34,9,2,0,0,NA,NA,0,0,NA,NA
"10",1230,10,"Software",1,1,2.8,"Man",2,1,20,49,3,8,0,0,NA,NA,0,0,NA,NA
"11",1270,11,"Data",1,1,2.2,"Woman",1,1,38,44,6,3,0,0,NA,NA,0,0,NA,NA
"12",1280,12,"Software",1,1,2.9,"Man",1,2,37,44,7,3,0,0,NA,NA,0,0,NA,NA
"13",1290,13,"Software",1,1,3,"Woman",2,1,11,29,4,4,0,0,NA,NA,0,0,NA,NA
"14",1300,14,"Software",1,1,3.2,"Woman",2,2,71,50,5,4,0,0,NA,NA,0,0,NA,NA
"15",1310,15,"Data",1,1,2.3,"Man",2,0,31,16,4,3,0,0,NA,NA,0,0,NA,NA
"16",1340,16,"Software",1,1,3,"Woman",2,1,42,62,7,3,0,0,NA,NA,0,0,NA,NA
"17",1360,17,"Software",1,1,4,"Woman",1,2,22,78,3,4,0,0,NA,NA,0,0,NA,NA
"18",1370,18,"Software",1,1,3,"Man",2,0,63,50,7,9,1,1,1,1,1,1,1,1
"19",1380,19,"Software",1,1,2.3,"Woman",1,1,70,50,4,2,0,0,NA,NA,0,0,NA,NA
"20",1410,20,"Software",1,1,2.8,"Man",1,1,43,63,4,4,0,0,NA,NA,0,0,NA,NA
"21",1440,21,"Software",1,1,3,"Woman",2,1,57,73,6,2,0,0,NA,NA,0,0,NA,NA
